step,time_sec,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,q_16,q_17,q_18,q_19,q_20,q_21,q_22,q_23,q_24,q_25
1,0.02,0,0,1.0432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.04,0.000116236,2.62869e-05,1.04945,0.999999,1.48842e-05,-0.00152262,-5.96707e-06,-7.29504e-05,0.000402671,0.000396263,0.000122641,-0.000470372,7.04115e-05,-0.000445166,0.000399957,0.000125555,-0.000471533,-4.69402e-06,0.000144251,-1.01538e-05,-1.38703e-06,0.000133331,0.000143945,3.94842e-06,-5.09283e-07,0.000132226
3,0.06,0.000187195,5.12366e-05,1.05502,0.999996,2.48047e-05,-0.00286782,-1.27839e-05,-6.87188e-05,0.000825249,1.75594e-05,-8.54189e-06,-0.000131413,6.40276e-05,-0.000861519,2.60931e-05,-5.22987e-06,-0.000131632,-4.33679e-06,4.94339e-05,-4.63343e-06,-1.269e-06,6.34789e-05,5.18925e-05,2.98359e-07,5.93096e-08,6.37716e-05
4,0.08,0.000264215,7.64837e-05,1.05992,0.999991,3.5828e-05,-0.00423295,-1.90413e-05,-0.000150528,0.00113198,-0.000248534,-9.57486e-05,-0.000387948,0.000143432,-0.0011728,-0.000235298,-9.06472e-05,-0.0003887,-6.32232e-06,3.53792e-05,-5.8457e-06,-1.73413e-06,7.85612e-06,3.89932e-05,1.49533e-06,-1.75232e-07,7.11687e-06
5,0.1,0.000337137,0.000101477,1.06415,0.999984,4.58803e-05,-0.00558298,-2.58066e-05,-0.000173401,0.00137434,-0.000602235,-0.000213275,-0.000161834,0.00016444,-0.00141006,-0.000584243,-0.000207501,-0.000161932,-6.33795e-06,-1.96746e-05,-1.80818e-06,-1.47349e-06,-4.0425e-05,-1.33315e-05,-1.57097e-06,-1.20327e-07,-4.01044e-05
6,0.12,0.000412758,0.000126586,1.0677,0.999976,5.63465e-05,-0.0069402,-3.21881e-05,-0.000255312,0.00154383,-0.000904154,-0.000314718,-0.000329077,0.000244324,-0.00157848,-0.000881146,-0.000307237,-0.000329474,-7.83983e-06,-2.12807e-05,-3.03804e-06,-1.94658e-06,-7.68425e-05,-1.35624e-05,-4.533e-07,-2.19871e-07,-7.7201e-05
7,0.14,0.000486561,0.000151568,1.07058,0.999966,6.6333e-05,-0.00829081,-3.89206e-05,-0.000296662,0.00164983,-0.00125148,-0.000428267,-0.000177777,0.000283946,-0.00167851,-0.00122351,-0.000419833,-0.000177697,-7.96848e-06,-4.52267e-05,-3.06673e-07,-1.66238e-06,-0.000106894,-3.48851e-05,-2.84461e-06,-4.43237e-07,-0.000106452
8,0.16,0.00056166,0.000176591,1.07278,0.999953,7.64577e-05,-0.00964389,-4.54065e-05,-0.000379538,0.00169838,-0.00157271,-0.000536723,-0.000286073,0.000365034,-0.00172241,-0.0015395,-0.000526629,-0.00028614,-9.07549e-06,-3.32589e-05,-1.5264e-06,-2.06298e-06,-0.000127392,-2.13114e-05,-1.92822e-06,-5.57946e-07,-0.000127362
9,0.18,0.00063598,0.000201546,1.0743,0.99994,8.6326e-05,-0.010994,-5.21261e-05,-0.000434661,0.00169206,-0.00191901,-0.000649348,-0.000184212,0.000418561,-0.00170873,-0.00188058,-0.000638071,-0.000183915,-9.23071e-06,-3.2526e-05,1.29918e-07,-1.80098e-06,-0.000142209,-1.80341e-05,-3.70861e-06,-9.40479e-07,-0.000141562
10,0.2,0.000710983,0.00022651,1.07515,0.999924,9.62199e-05,-0.0123448,-5.86944e-05,-0.000518774,0.00163794,-0.00225119,-0.000761364,-0.000253578,0.000501045,-0.0016474,-0.00220728,-0.000748427,-0.000253325,-1.00061e-05,-6.96956e-06,-1.1059e-06,-2.10628e-06,-0.000149331,9.3357e-06,-2.99747e-06,-1.13416e-06,-0.000148903
