step,time_sec,u_0,u_1,u_2,u_3,u_4,u_5,u_6,u_7,u_8,u_9,u_10,u_11,u_12,u_13,u_14,u_15,u_16,u_17,u_18
1,0.02,-0.00104972,-0.0155467,0.285501,0.116495,-0.112835,-0.000664822,-0.0159353,0.285521,0.116839,-0.113182,0.00101032,0.0431103,0.000686853,0.00179812,-0.0016571,0.0433808,-0.00208417,-0.00218573,-0.00150051
2,0.04,-0.00340039,-0.0656328,-0.204351,-0.0814092,0.0941696,0.00448834,0.0886084,-0.203922,-0.0815634,0.0944547,-0.000371487,-0.0265951,9.13148e-05,-0.00100103,0.0034738,-0.0267116,0.000926463,0.0013242,0.00346413
3,0.06,-0.0103261,-0.0483894,0.120637,0.0473545,-0.0769024,0.00976602,0.0349861,0.12061,0.0476144,-0.0771094,-3.57724e-05,0.0282136,-0.00018775,0.000921957,0.00119364,0.0282285,-0.000646838,-0.00122489,0.00107304
4,0.08,0.00167238,-0.0429581,-0.0921419,-0.034831,0.0638749,-0.00129218,0.0534758,-0.0918971,-0.0349754,0.0640481,0.000173909,-0.0159699,0.000593712,-0.000412397,0.00127844,-0.0158988,-8.77811e-06,0.000645475,0.0014205
5,0.1,-0.0104045,-0.0412322,0.0498741,0.0181236,-0.051768,0.0102434,0.0357105,0.0499713,0.0183503,-0.0518921,-0.000257585,0.0183532,-0.000496211,0.000455824,0.00178515,0.0182384,6.879e-06,-0.000666337,0.00159955
6,0.12,0.00247061,-0.032305,-0.0426399,-0.0147866,0.0428908,-0.00234758,0.0372001,-0.0425446,-0.0149145,0.0429976,0.000268295,-0.00961716,0.000699037,-0.000131529,0.000422723,-0.00948035,-0.000367693,0.000287967,0.000584528
7,0.14,-0.00829747,-0.0289529,0.0203937,0.00630881,-0.034579,0.00826804,0.0267265,0.0205123,0.00648036,-0.0346558,-0.000247856,0.0116842,-0.000546912,0.000205662,0.00150344,0.011536,0.000263138,-0.000344693,0.0013314
8,0.16,0.00243073,-0.0212435,-0.0203296,-0.00614008,0.0286055,-0.00240036,0.0235287,-0.0203144,-0.0062436,0.0286723,0.000236953,-0.00605751,0.000630392,-1.55477e-05,3.51341e-06,-0.00591952,-0.000441192,0.000118344,0.000141708
9,0.18,-0.00579368,-0.0159189,0.00845081,0.00179794,-0.0230008,0.00579945,0.0149851,0.0085275,0.00190923,-0.0230504,-0.000185663,0.00702475,-0.000497503,6.65726e-05,0.000937926,0.00688514,0.000337062,-0.000155002,0.000800897
10,0.2,0.00245267,-0.00888982,-0.0097606,-0.00232173,0.0189777,-0.00245439,0.00987742,-0.00980125,-0.00240828,0.0190192,0.000180172,-0.00430865,0.000498402,1.33068e-05,-0.000325846,-0.00419361,-0.000385749,5.48728e-05,-0.000219583
